41 41 798
31 27 32 27
9 37 10 37
25 33 25 34
25 11 26 11
31 1 32 1
11 27 12 27
3 35 3 34
35 31 36 31
11 15 10 15
19 29 20 29
21 31 20 31
39 11 39 10
5 39 6 39
9 3 8 3
31 29 32 29
11 25 10 25
25 37 25 36
13 37 13 36
19 17 19 16
15 5 15 6
11 35 11 34
27 13 28 13
3 35 3 36
7 3 8 3
17 15 16 15
5 11 4 11
5 13 6 13
9 13 9 12
5 15 5 16
33 31 33 32
35 1 36 1
3 7 4 7
3 23 2 23
11 37 11 38
23 23 23 24
19 17 20 17
35 13 35 12
27 11 27 12
3 13 4 13
1 31 2 31
17 9 17 8
37 1 37 2
21 11 20 11
27 29 27 28
11 29 11 28
5 39 4 39
15 3 16 3
37 9 38 9
19 33 19 32
15 13 16 13
13 15 14 15
29 31 28 31
25 23 25 22
19 5 18 5
29 23 29 24
21 27 22 27
7 35 7 36
27 15 27 16
13 17 14 17
27 35 26 35
29 31 30 31
39 3 39 4
1 37 1 36
33 13 34 13
3 15 3 14
7 25 7 26
19 23 20 23
19 37 19 38
17 13 18 13
9 9 9 10
27 33 27 32
3 5 2 5
33 33 33 32
15 17 15 16
17 23 17 24
9 27 10 27
21 3 21 2
7 25 8 25
35 9 34 9
27 17 28 17
25 29 24 29
17 15 17 16
35 11 34 11
11 7 12 7
37 35 38 35
7 1 7 2
39 39 38 39
7 15 8 15
13 29 14 29
29 3 30 3
37 27 37 28
39 25 38 25
33 35 32 35
39 33 39 32
5 23 5 24
23 23 24 23
1 3 1 4
17 33 17 32
17 17 17 18
11 23 11 22
17 25 17 24
25 13 26 13
7 9 8 9
23 33 23 34
7 29 7 30
27 31 27 32
21 17 20 17
1 39 1 38
5 19 6 19
35 21 34 21
35 37 35 38
9 35 10 35
13 7 12 7
1 5 2 5
27 29 27 30
35 23 36 23
19 19 18 19
23 35 23 36
25 13 25 14
29 13 29 14
21 19 22 19
17 7 18 7
15 29 14 29
33 25 33 24
25 35 25 36
21 17 22 17
31 23 31 22
31 5 30 5
19 31 19 32
31 21 31 22
27 33 26 33
27 35 28 35
21 7 20 7
17 23 18 23
35 11 35 12
17 9 17 10
35 11 36 11
15 3 15 2
17 3 16 3
33 21 33 22
9 27 8 27
23 17 24 17
7 33 7 34
13 25 14 25
35 27 35 26
1 29 1 30
5 29 6 29
23 1 22 1
9 19 9 18
35 27 34 27
37 7 37 6
19 29 19 28
3 3 3 4
29 1 29 2
3 21 3 20
9 39 9 38
21 21 22 21
29 3 28 3
3 17 3 18
35 23 35 24
15 19 16 19
17 11 17 10
17 19 17 18
37 11 38 11
17 23 17 22
1 1 2 1
27 23 27 22
39 19 39 18
39 19 39 20
35 5 35 6
23 21 23 22
3 9 4 9
11 19 12 19
37 33 37 34
33 27 32 27
19 11 20 11
35 17 36 17
3 39 4 39
35 7 35 6
25 15 24 15
11 37 11 36
35 5 34 5
37 17 36 17
3 23 3 22
27 27 27 28
37 19 36 19
31 25 31 26
9 37 9 38
23 27 22 27
37 35 37 34
7 31 7 32
33 37 34 37
29 35 28 35
31 9 31 8
39 17 39 16
3 19 2 19
27 21 28 21
5 33 4 33
33 31 32 31
35 39 35 38
15 39 15 38
21 29 20 29
19 25 19 24
29 1 28 1
27 31 27 30
21 37 20 37
3 13 2 13
31 17 32 17
23 15 24 15
33 5 34 5
11 5 11 6
11 7 10 7
25 37 25 38
37 27 38 27
11 15 12 15
1 13 1 12
31 7 31 6
15 15 14 15
25 15 25 14
13 23 14 23
5 5 6 5
13 15 12 15
27 3 28 3
9 9 9 8
25 37 26 37
29 29 28 29
29 3 29 2
17 27 17 28
29 19 28 19
25 39 25 38
35 13 34 13
3 33 2 33
29 3 29 4
39 9 38 9
7 35 7 34
1 31 1 30
15 11 14 11
17 17 17 16
1 27 1 28
21 17 21 18
17 33 17 34
21 13 21 12
19 27 19 28
9 35 9 34
7 29 6 29
19 1 20 1
15 11 15 10
3 27 3 28
31 39 30 39
11 3 10 3
13 11 14 11
23 29 24 29
17 29 17 28
15 15 16 15
